구,과,labels
강서구,기획감사실,0
금정구,기획감사실,0
기장군,기획청렴실,0
남구,기획전략실 기획담당관,0
동구,기획감사실,0
동래구,기획감사실,0
부산진구,기획조정실,0
북구,기획감사실,0
사상구,기획감사실,0
사하구,기획실,0
서구,기획감사실,0
수영구,기획감사실,0
연제구,기획조정실,0
영도구,미래기획국 기획감사과,0
중구,기획감사실,0
해운대구,기획조정실,0
강서구,행정문화국 총무과,1
금정구,총무국 총무과,1
기장군,행정자치국 행정지원과,1
남구,행정자치국 행정지원과,1
동구,행정문화국 행정자치과,1
동래구,총무국 총무과,1
부산진구,행정자치국 행정자치과,1
북구,총무국 행정지원과,1
사상구,행정지원국 자치행정과,1
사하구,자치행정국 총무과,1
서구,행정지원국 총무과,1
수영구,총무국 총무과,1
연제구,행정지원국 자치지원과,1
영도구,행정관리국 행정지원과,1
중구,자치행정국 행정지원과,1
해운대구,행정지원국 행정지원과,1
강서구,행정문화국 문화체육과,2
금정구,총무국 문화관광과,2
기장군,교육행복국 문화관광과,2
남구,행정자치국 문화관광체육과,2
동구,행정문화국 문화체육관광과,2
동래구,문화환경국 문화관광과,2
부산진구,문화관광국 문화체육과,2
북구,총무국 문화체육과,2
사하구,경제환경국 문화관광과,2
서구,행정지원국 문화관광과,2
수영구,총무국 문화관광과,2
연제구,경제문화국 문화체육과,2
영도구,행정관리국 문화관광과,2
중구,자치행정국 문화관광과,2
해운대구,관광경제국 관광문화과,2
사상구,행정지원국 문화교육과,2
동구,행정문화국 행정자치과,3
강서구,행정문화국 재무과,3
금정구,총무국 재무과,3
기장군,행정자치국 재무과,3
남구,기획전략실 재무담당관,3
동래구,총무국 재무과,3
부산진구,행정자치국 재무과,3
북구,총무국 재무과,3
사상구,행정지원국 재무과,3
사하구,자치행정국 재무과,3
서구,행정지원국 재무과,3
수영구,총무국 재무과,3
연제구,행정지원국 재무과,3
중구,자치행정국 재무과,3
해운대구,행정지원국 재무과,3
영도구,행정관리국 민원여권과,3
강서구,행정문화국 세무과,4
금정구,총무국 세무1과,4
기장군,행정자치국 공정조세과,4
남구,행정자치국 세무1과,4
동구,행정문화국 세무1과,4
동래구,총무국 세무1과,4
부산진구,행정자치국 세무1과,4
북구,총무국 세무1과,4
사상구,행정지원국 세무1과,4
사하구,자치행정국 세무1과,4
서구,행정지원국 세무과,4
수영구,총무국 세무1과,4
연제구,행정지원국 세무1과,4
